id,class,title,youtuber,subscribers,views,like,c_num,c1_name,c1_content,c1_like,c2_name,c2_content,c2_like,c3_name,c3_content,c3_like,c4_name,c4_content,c4_like,c5_name,c5_content,c5_like
11,2,화성 향후 10년 계획 뉴스 총정리,모두정리,321만,354223,830326,4,블리자드,정리 되니까 진짜 보기 좋다,7223,백수만세,화이팅 현재정부!,1259,닉네임없음,화성에서의 10년이 지구에서의 2010년이라니,7339,새하얀,진짜 기대된다,9182,,,
12,2,지구는 버틸 수 있습니다!,과학궤적,23만,171858,868224,3,갓피지컬,진짜 뭐가 맞는지 모르겠음,3572,아는형님,지구 진짜 버틸 수 있을것 같은데..,4121,킹받는당근,지구는 버틸 수 있지 근데 화성은 더 발전할 수 있어,6367,,,,,,
13,3,3구역 주민들 보세요! 우리도 생존권 요구해야 합니다.,코딩기초부타,4.6만,415221,343359,5,오늘도퇴근못함,3구역 힘내자 제발,7954,피닉스푸활,이제라도 목소리 내야지,6598,루루,우리한텐 기회조차 없었음,6009,오늘은그냥,이게 진짜 현실임,9553,독수리눈,누가 대신 싸워줄 것도 아니잖아 ,7620
14,3,14일 후 지구 과연 어떻게 될까요,아웃풋스토리,14만,926229,80536,4,다크호스,너무 무서워,9698,오늘만산다,이런걸 보고서도 화성에 안 가도 된다 하는 사람은 진짜..,8509,두통치통박통,지금 지구가 버틸 수 있냐 없냐의 문제보다 인구가 대거 이동 함으로 오는 경제적 소실을 생각해야함,9467,무한재생,경각심을 가집시다,8278,,,
15,3,화성 투자 하면 좋은 곳 3가지 무료로 알려드릴게요(캡션확인),지식남,23만,336885,990739,5,템페스트,그냥 좀 알려줘라,8985,키보드맨,화성 투자,2904,마법의손맛,화성투자,2308,엄근진,ㅎㅅ ㅌㅈ,1712,인간승리,화성 투자!,9825
16,3,지구의 일자리는 줄어만 가고..,포레스트라인,11만,457748,826750,4,리로드,이게 진짜 우리가 걱정해야되는거임 대기업들이 다 화성으로 가는건데,3782,닉값하네,화성이 그래서 블루오션이라는거임,4820,간헐적천재,답은 화성밖에 없다..,2650,파워블로거지,"그래도 지구에 남는 사람들, 기업들이 있을거 아냐",4959,,,
17,4,"불신자들 시간 낭비할 때, 우리는 화성 시민이 됩니다",조용한하루,17.3만,941164,817325,5,치킨먹는중,불신자들이 댓글에만 목숨 거는 동안 우린 이미 짐 다 싸고도 남았죠,2907,유리멘탈,그러게 요즘 미디어 보면 불신자들이 너무 많음;;;,4164,쪼리,의심만 하다가 기회 놓치는 사람들 꽤나 있어서 좀 안쓰럽기도…,5006,감정과다,전 준비돼써용,9272,의미없다,다같이 살았으면 좋겠다…ㅠㅠ ,8793
18,4,화성에 어떤 사람들이 갈까?,로딩바,140만,421921,454447,5,블랙잭,와.....,7436,나만없어고양이,진짜 이런 사람들이 다 가면..,8651,프로눕방러,우리같은 평민들은 어떻게 감,1119,오늘의운세,부럽다 나도 연예인이나 할껄,7459,이름짓기귀찮,우리제결오빠는!!,7834
19,4,화성 가기 D-14 브이로그,세리의하루,3.2만,219151,56108,4,닥돌이,금수저 브이로그...,1719,오늘만공주,부럽다,9734,통닭밖에,어린 애가 벌써부터.. ㅉㅉ,3893,관종의삶,ㅅㅂ 부럽다 말고 할 수 있는말이 없음,7339,,,
20,4,새로운 시작이 있는 곳 화성,대한민국정부,159만,651321,744996,3,에이사,너무 유토피아적 환상이다,5895,김볶밥장인,부자들의 새로운 시작,2150,반반무많이,이런 꼴 안 볼려면 지구에 남아있어야지,9710,,,,,,
