id,class,title,youtuber,subscribers,views,like,c_num,c1_name,c1_content,c1_like,c2_name,c2_content,c2_like,c3_name,c3_content,c3_like,c4_name,c4_content,c4_like,c5_name,c5_content,c5_like
11,2,화성 챌린지? 전 다음에 참여합니다,방구석예술가,1.2천,590443,548663,3,그래그리,그래 다음에 해라,2473,여행자 조셉,화성 챌린지 있는지도 몰랐네요... f세대는 다르네 ,3239,개날라리,저도 다음에 할래요,4726,,,,,,
12,2,지구는 버틸 수 있습니다!,과학궤적,239만,300520,33327,3,갓피지컬,진짜 뭐가 맞는지 모르겠음,8751,아는형님,지구 진짜 버틸 수 있을것 같은데..,5385,킹받는당근,지구는 버틸 수 있지 근데 화성은 더 발전할 수 있어,8085,,,,,,
13,3,탈출선 왓츠인마백,매끈매끈하다,4.1천,775618,764712,5,이마짚,ㅋㅋㅋㅋㅋㅋ맞지 과자맛 보여줘야됨 까무라칠듯,7302,비둘기비행,아 나도 과자챙겨야겠다 ㅋㅋㅋ,7423,@laks22dokq,아니벌써외계인꼬실생각을하시나요,1371,안티프리지야,잘생긴외계인찾숩니다,6015,세은,아나는머챙기지???????????,8481
14,3,체력 관리도 생존 스킬이라며? 그래서 뛰고 옴ㅋㅋ,뭐든지도전,5.8천,803783,853987,4,고구마백만개,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 나도 체력 길러야겠노,9535,드라큘라,아 운동 부족인데 어쩌져 ~~ ㅠ ,9090,짝사랑만15년쨰,난 화성 가도 운동 안할듯,5511,에어롭익,ㅋㅋㅋ 필수 스킬이긴 하지,7243,,,
15,3,당신이 눈치채지 못한 화성의 실제 변화,황금유튜바,128만,66221,895348,5,아롱다롱,아 이런거 볼 때마다 기대감에 부품.,4833,드라이브F9,ㅈㄴ 머싱서,4585,짝사랑만15년쨰,내가 화성 가서 저걸 누릴 수 있을까...,8324,로아,빨리 가고시어요,8447,수박냠냠,화성에 수박도 재배할 수 있나요,9374
16,3,다 팔고 2구역 진입한 후기,푱푱한,1.9천,88769,168165,5,데이터정리TV,저도 마찬가지로 후회없네요. 어차피 남으면 고통스럽게 죽을테니까요 ,2742,dskfj2-02,다들용기가멋있네요 - 2구역주민,2805,@jasfn19i34,브로커가 이렇게 왕성하게 활동하는지 이번에 알게됨.,2823,자구싶다,인권이 너무 떨어지는거같음.,9964,@ijdfpo2405,아아아아아아앙아아ㅏ어쩌지ㅠ,1251
17,4,4일 남았습니다. 지금 준비하지 않으면...,화성사는남자,12만,715024,780360,5,@lkamld,넵...다음 영상에서 뵈어요...,7334,뷀궭뷉,착실하게 준비 하고 있습니다...,3157,dfdpqkj1,화성가도 괜찮겠죠? 조언부탁드립니다.,4802,@lkpq2450,지구에 남아있으면 죽음 뿐인걸요.,1579,우너숭이,하... 착잡하긴 한데... 혼자가 아니니 힘내보겠습니다.,2301
18,4,패닉은 그만! 여러분들 제발 다같이 탈출합시다,그림자필름,12.8만,210228,405804,5,탕후루장인,패닉보단 준비! 말은 맞음… 지금이 행동할 타이밍,5055,버그의신,이럴 때일수록 서로 믿고 움직여야 하는 거 아닌가요…?,9080,아롱,솔직히 무섭지만… 혼자 남는 게 더 무서움,1301,피로누적,누가 리더 좀 해줘요;; 진짜 혼자선 결심 못하겠음,6488,대출살자,이거 들으니까 갑자기 진짜 ‘탈출’이 현실처럼 느껴진다;;,8944
19,4,경고! 망설일 시간 없습니다. 지금 당장 우주선 타세요!,빨간별,10만,204659,228995,5,999버스,고고고! 화성 가자!,2604,상남자스떼끼,저....신청못했는데...어떡하죠>?,8522,고독무술,지금 브로커 몇명은 계속 활동한다고 하네요. 얼른 메일 넣어보세요.,6205,챗지니디,구라같은 내인생,1710,바보양,인생 권태기였는데 싹 날라갔습니다.,3697
20,4,소신발언. 지구 남아있기로 한 사람 아무도 못봄.,그래쉽지,492만,785658,348063,5,@djanfla,진짜 브로커 빠르게 캔택해서 2구역 진입 해야됩니다,8719,선누구자조아,ㄹㅇ 저도 간신히 어제 신청햄씁니다,1904,KNSAA," 제 가족, 친척, 친구들 다 가지고 있는 모든 걸 다 털어서 진입했습니다…여러분도살아남길",6691,@ijoig0021,미디어만 믿어서 될 거 못됩니다... 자기가 판단 확실히 내려야죠.,3260,강123321,역시 그래쉽지 님 이번에도 좋은 영상입니다...이 영상 많이 퍼졌으면 하네요.,9901
